t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1788414763932,0.0000,0.0000,0.0000,0.0000,0.0000,default
1788414764040,0.4756,0.9712,0.4619,0.0000,0.4619,default
1788414764071,0.2727,1.0000,0.2727,0.0000,0.4619,default
1788414764113,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764153,0.2284,0.9894,0.2260,0.0000,0.4619,default
1788414764195,0.0003,0.0000,0.0000,0.0000,0.4619,default
1788414764236,0.1198,0.0000,0.0000,0.0000,0.4619,default
1788414764268,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764314,0.0946,0.0000,0.0000,0.0000,0.4619,default
1788414764345,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764378,0.1302,0.0000,0.0000,0.0000,0.4619,default
1788414764408,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764455,0.1683,0.9817,0.1652,0.0000,0.4619,default
1788414764515,0.1570,0.0000,0.0000,0.0000,0.4619,default
1788414764546,0.0004,0.0000,0.0000,0.0000,0.4619,default
1788414764594,0.1653,0.9951,0.1645,0.0000,0.4619,default
1788414764624,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764671,0.1172,0.0000,0.0000,0.0000,0.4619,default
1788414764718,0.0004,0.0000,0.0000,0.0000,0.4619,default
1788414764748,0.0596,0.0000,0.0000,0.0000,0.4619,default
1788414764781,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764826,0.0508,0.0000,0.0000,0.0000,0.4619,default
1788414764858,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764899,0.0735,0.0000,0.0000,0.0000,0.4619,default
1788414764931,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414764962,0.1094,0.0000,0.0000,0.0000,0.4619,default
1788414765008,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765054,0.0950,0.0000,0.0000,0.0000,0.4619,default
1788414765086,0.0003,0.0000,0.0000,0.0000,0.4619,default
1788414765133,0.1014,0.0000,0.0000,0.0000,0.4619,default
1788414765188,0.0641,0.0000,0.0000,0.0000,0.4619,default
1788414765226,0.0003,0.0000,0.0000,0.0000,0.4619,default
1788414765273,0.0558,0.0000,0.0000,0.0000,0.4619,default
1788414765319,0.0004,0.0000,0.0000,0.0000,0.4619,default
1788414765349,0.0513,0.0000,0.0000,0.0000,0.4619,default
1788414765380,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765412,0.0506,0.0000,0.0000,0.0000,0.4619,default
1788414765459,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765505,0.0438,0.0000,0.0000,0.0000,0.4619,default
1788414765536,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765565,0.0460,0.0000,0.0000,0.0000,0.4619,default
1788414765597,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765644,0.0581,0.0000,0.0000,0.0000,0.4619,default
1788414765690,0.0001,0.0000,0.0000,0.0000,0.4619,default
1788414765723,0.1335,0.0000,0.0000,0.0000,0.4619,default
1788414765780,0.0561,0.0000,0.0000,0.0000,0.4619,default
1788414765814,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765862,0.0504,0.0000,0.0000,0.0000,0.4619,default
1788414765891,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414765923,0.0676,0.0000,0.0000,0.0000,0.4619,default
1788414765954,0.0002,0.0000,0.0000,0.0000,0.4619,default
1788414766000,0.0793,0.0000,0.0000,0.0000,0.4619,default
1788414766032,0.0005,0.0000,0.0000,0.0000,0.4619,default
1788414766063,0.0556,0.0000,0.0000,0.0000,0.2727,default
1788414766094,0.0004,0.0000,0.0000,0.0000,0.2260,default
1788414766125,0.0538,0.0000,0.0000,0.0000,0.2260,default
1788414766172,0.0002,0.0000,0.0000,0.0000,0.1652,default
1788414766204,0.0491,0.0000,0.0000,0.0000,0.1652,default
1788414766248,0.0001,0.0000,0.0000,0.0000,0.1652,default
1788414766295,0.0882,0.0000,0.0000,0.0000,0.1652,default
1788414766341,0.0004,0.0000,0.0000,0.0000,0.1652,default
1788414766374,0.1033,0.0000,0.0000,0.0000,0.1652,default
1788414766421,0.0750,0.0000,0.0000,0.0000,0.1652,default
1788414766453,0.0716,0.0000,0.0000,0.0000,0.1652,default
1788414766517,0.0801,0.0000,0.0000,0.0000,0.1645,default
1788414766559,0.0005,0.0000,0.0000,0.0000,0.1645,default
1788414766606,0.0957,0.0000,0.0000,0.0000,0.0000,default
1788414766642,0.0002,0.0000,0.0000,0.0000,0.0000,default
1788414766677,0.0700,0.0000,0.0000,0.0000,0.0000,default
1788414766711,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414766748,0.0466,0.0000,0.0000,0.0000,0.0000,default
1788414766793,0.0434,0.0000,0.0000,0.0000,0.0000,default
1788414766823,0.0002,0.0000,0.0000,0.0000,0.0000,default
1788414766868,0.0373,0.0000,0.0000,0.0000,0.0000,default
1788414766916,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414766947,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414766991,0.0465,0.0000,0.0000,0.0000,0.0000,default
1788414767044,0.0529,0.0000,0.0000,0.0000,0.0000,default
1788414767074,0.0002,0.0000,0.0000,0.0000,0.0000,default
1788414767116,0.0659,0.0000,0.0000,0.0000,0.0000,default
1788414767171,0.0605,0.0000,0.0000,0.0000,0.0000,default
1788414767210,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414767256,0.0452,0.0000,0.0000,0.0000,0.0000,default
1788414767290,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414767335,0.0003,0.0000,0.0000,0.0000,0.0000,default
1788414767379,0.0664,0.0000,0.0000,0.0000,0.0000,default
1788414767444,0.0775,0.0000,0.0000,0.0000,0.0000,default
1788414767476,0.0004,0.0000,0.0000,0.0000,0.0000,default
1788414767520,0.0973,0.0000,0.0000,0.0000,0.0000,default
1788414767571,0.0706,0.0000,0.0000,0.0000,0.0000,default
1788414767613,0.0004,0.0000,0.0000,0.0000,0.0000,default
1788414767646,0.0933,0.0000,0.0000,0.0000,0.0000,default
1788414767692,0.0004,0.0000,0.0000,0.0000,0.0000,default
1788414767736,0.1853,0.9871,0.1830,0.0000,0.1830,default
1788414767768,0.0005,0.0000,0.0000,0.0000,0.1830,default
1788414767800,0.0005,0.0000,0.0000,0.0000,0.1830,default
1788414767834,0.2656,0.9937,0.2640,0.0000,0.2640,default
1788414767865,0.0003,0.0000,0.0000,0.0000,0.2640,default
1788414767907,0.3053,0.9765,0.2981,0.0000,0.2981,default
1788414767953,0.0002,0.0000,0.0000,0.0000,0.2981,default
1788414767985,0.3105,0.9980,0.3099,0.0000,0.3099,default
1788414768014,0.2472,0.9962,0.2462,0.0000,0.3099,default
1788414768046,0.0003,0.0000,0.0000,0.0000,0.3099,default
1788414768093,0.2432,0.9277,0.2256,0.0000,0.3099,default
1788414768124,0.0002,0.0000,0.0000,0.0000,0.3099,default
1788414768154,0.1907,0.9982,0.1904,0.0000,0.3099,default
1788414768200,0.1629,0.9596,0.1563,0.0000,0.3099,default
1788414768243,0.1166,0.0000,0.0000,0.0000,0.3099,default
1788414768275,0.0002,0.0000,0.0000,0.0000,0.3099,default
1788414768308,0.1435,0.0000,0.0000,0.0000,0.3099,default
1788414768372,0.3463,0.9774,0.3385,0.0000,0.3385,default
1788414768415,0.0006,0.0000,0.0000,0.0000,0.3385,default
1788414768462,0.4392,0.9805,0.4306,0.0000,0.4306,default
1788414768509,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414768555,0.4213,0.9911,0.4175,0.0000,0.4306,default
1788414768600,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414768633,0.3614,0.9991,0.3611,0.0000,0.4306,default
1788414768664,0.3012,0.9987,0.3008,0.0000,0.4306,default
1788414768709,0.1945,0.9984,0.1942,0.0000,0.4306,default
1788414768772,0.0927,0.0000,0.0000,0.0000,0.4306,default
1788414768819,0.0001,0.0000,0.0000,0.0000,0.4306,default
1788414768851,0.1394,0.0000,0.0000,0.0000,0.4306,default
1788414768882,0.0004,0.0000,0.0000,0.0000,0.4306,default
1788414768912,0.1055,0.0000,0.0000,0.0000,0.4306,default
1788414768941,0.0001,0.0000,0.0000,0.0000,0.4306,default
1788414768972,0.0935,0.0000,0.0000,0.0000,0.4306,default
1788414769005,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414769035,0.1095,0.0000,0.0000,0.0000,0.4306,default
1788414769065,0.0004,0.0000,0.0000,0.0000,0.4306,default
1788414769107,0.0948,0.0000,0.0000,0.0000,0.4306,default
1788414769143,0.0001,0.0000,0.0000,0.0000,0.4306,default
1788414769172,0.1008,0.0000,0.0000,0.0000,0.4306,default
1788414769203,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414769236,0.2403,1.0000,0.2403,0.0000,0.4306,default
1788414769271,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414769318,0.2972,0.9812,0.2917,0.0000,0.4306,default
1788414769364,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414769397,0.3385,0.9970,0.3375,0.0000,0.4306,default
1788414769428,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414769458,0.2863,1.0000,0.2863,0.0000,0.4306,default
1788414769516,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414769560,0.0682,0.0000,0.0000,0.0000,0.4306,default
1788414769608,0.0004,0.0000,0.0000,0.0000,0.4306,default
1788414769639,0.2483,0.9569,0.2376,0.0000,0.4306,default
1788414769699,0.1869,0.9954,0.1861,0.0000,0.4306,default
1788414769748,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414769794,0.1400,0.0000,0.0000,0.0000,0.4306,default
1788414769840,0.0003,0.0000,0.0000,0.0000,0.4306,default
1788414769884,0.0750,0.0000,0.0000,0.0000,0.4306,default
1788414769933,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414769970,0.1052,0.0000,0.0000,0.0000,0.4306,default
1788414770035,0.1212,0.0000,0.0000,0.0000,0.4306,default
1788414770072,0.0005,0.0000,0.0000,0.0000,0.4306,default
1788414770112,0.0834,0.0000,0.0000,0.0000,0.4306,default
1788414770163,0.0001,0.0000,0.0000,0.0000,0.4306,default
1788414770204,0.1729,1.0000,0.1729,0.0000,0.4306,default
1788414770242,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414770290,0.0583,0.0000,0.0000,0.0000,0.4306,default
1788414770336,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414770382,0.2038,1.0000,0.2038,0.0000,0.4306,default
1788414770421,0.0783,0.0000,0.0000,0.0000,0.4306,default
1788414770453,0.0002,0.0000,0.0000,0.0000,0.4306,default
1788414770498,0.0664,0.0000,0.0000,0.0000,0.4175,default
1788414770529,0.0003,0.0000,0.0000,0.0000,0.4175,default
1788414770569,0.0824,0.0000,0.0000,0.0000,0.3611,default
1788414770599,0.0002,0.0000,0.0000,0.0000,0.3611,default
1788414770630,0.0784,0.0000,0.0000,0.0000,0.3611,default
1788414770676,0.0002,0.0000,0.0000,0.0000,0.3375,default
1788414770723,0.1016,0.0000,0.0000,0.0000,0.3375,default
1788414770770,0.0003,0.0000,0.0000,0.0000,0.3375,default
1788414770814,0.1753,1.0000,0.1753,0.0000,0.3375,default
1788414770846,0.0002,0.0000,0.0000,0.0000,0.3375,default
1788414770877,0.1483,0.0000,0.0000,0.0000,0.3375,default
1788414770922,0.0003,0.0000,0.0000,0.0000,0.3375,default
1788414770962,0.0620,0.0000,0.0000,0.0000,0.3375,default
1788414771001,0.0002,0.0000,0.0000,0.0000,0.3375,default
1788414771030,0.2597,0.8595,0.2232,0.0000,0.3375,default
1788414771091,0.3432,0.8741,0.3000,0.0000,0.3375,default
1788414771124,0.0001,0.0000,0.0000,0.0000,0.3375,default
1788414771156,0.4415,0.8811,0.3890,0.0000,0.3890,default
1788414771185,0.0002,0.0000,0.0000,0.0000,0.3890,default
1788414771218,0.4606,0.8730,0.4021,0.0000,0.4021,default
1788414771250,0.0003,0.0000,0.0000,0.0000,0.4021,default
1788414771283,0.2431,0.7948,0.1932,0.0000,0.4021,default
1788414771313,0.0006,0.0000,0.0000,0.0000,0.4021,default
1788414771363,0.1804,1.0000,0.1804,0.0000,0.4021,default
1788414771404,0.0005,0.0000,0.0000,0.0000,0.4021,default
1788414771449,0.3955,0.9875,0.3906,0.0000,0.4021,default
1788414771482,0.0003,0.0000,0.0000,0.0000,0.4021,default
1788414771528,0.4639,0.9947,0.4614,0.0000,0.4614,default
1788414771558,0.0003,0.0000,0.0000,0.0000,0.4614,default
1788414771590,0.4950,0.9980,0.4940,0.0000,0.4940,default
1788414771620,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414771652,0.3556,0.9998,0.3556,0.0000,0.4940,default
1788414771684,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414771728,0.1816,1.0000,0.1816,0.0000,0.4940,default
1788414771758,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414771806,0.0750,0.0000,0.0000,0.0000,0.4940,default
1788414771836,0.0003,0.0000,0.0000,0.0000,0.4940,default
1788414771885,0.1072,0.0000,0.0000,0.0000,0.4940,default
1788414771919,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414771954,0.1927,0.9591,0.1848,0.0000,0.4940,default
1788414771987,0.0001,0.0000,0.0000,0.0000,0.4940,default
1788414772017,0.1962,0.9924,0.1947,0.0000,0.4940,default
1788414772052,0.0003,0.0000,0.0000,0.0000,0.4940,default
1788414772098,0.3091,0.9998,0.3090,0.0000,0.4940,default
1788414772145,0.0685,0.0000,0.0000,0.0000,0.4940,default
1788414772193,0.0001,0.0000,0.0000,0.0000,0.4940,default
1788414772224,0.0699,0.0000,0.0000,0.0000,0.4940,default
1788414772253,0.0003,0.0000,0.0000,0.0000,0.4940,default
1788414772291,0.1400,0.0000,0.0000,0.0000,0.4940,default
1788414772323,0.0004,0.0000,0.0000,0.0000,0.4940,default
1788414772354,0.2133,0.9739,0.2078,0.0000,0.4940,default
1788414772385,0.0003,0.0000,0.0000,0.0000,0.4940,default
1788414772425,0.2333,0.9855,0.2299,0.0000,0.4940,default
1788414772455,0.0005,0.0000,0.0000,0.0000,0.4940,default
1788414772501,0.2238,0.9324,0.2086,0.0000,0.4940,default
1788414772530,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414772565,0.1950,0.0000,0.0000,0.0000,0.4940,default
1788414772597,0.0002,0.0000,0.0000,0.0000,0.4940,default
1788414772627,0.1628,0.0000,0.0000,0.0000,0.4940,default
1788414772674,0.0002,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772704,0.1262,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772755,0.0750,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772798,0.0005,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772845,0.0005,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772892,0.1202,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414772947,0.0688,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773001,0.0003,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773045,0.0618,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773092,0.0003,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773138,0.0472,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773186,0.0418,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773232,0.0566,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773282,0.0591,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773325,0.0003,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773373,0.0388,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773419,0.0001,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773466,0.0527,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773515,0.0002,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773560,0.0546,0.0000,0.0000,0.0000,0.4940,sideEyeCat
1788414773608,0.0815,0.0000,0.0000,0.0000,0.3556,sideEyeCat
1788414773654,0.0004,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773702,0.0665,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773748,0.0002,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773779,0.0602,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773825,0.0002,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773856,0.0835,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773887,0.0003,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773918,0.1079,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414773949,0.1648,0.9886,0.1630,0.0000,0.3090,sideEyeCat
1788414773980,0.0004,0.0000,0.0000,0.0000,0.3090,sideEyeCat
1788414774027,0.2001,1.0000,0.2001,0.0000,0.3090,sideEyeCat
1788414774074,0.2447,1.0000,0.2447,0.0000,0.3090,sideEyeCat
1788414774146,0.2566,0.9966,0.2557,0.0000,0.2557,sideEyeCat
1788414774181,0.0003,0.0000,0.0000,0.0000,0.2557,sideEyeCat
1788414774213,0.2672,0.9919,0.2650,0.0000,0.2650,sideEyeCat
1788414774248,0.0004,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774290,0.2611,0.9998,0.2610,0.0000,0.2650,sideEyeCat
1788414774339,0.2275,1.0000,0.2275,0.0000,0.2650,sideEyeCat
1788414774388,0.0004,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774431,0.1908,1.0000,0.1908,0.0000,0.2650,sideEyeCat
1788414774462,0.0004,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774494,0.1508,0.9803,0.1478,0.0000,0.2650,sideEyeCat
1788414774525,0.0003,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774558,0.0710,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774605,0.0005,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774650,0.0005,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774695,0.0518,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774726,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774757,0.1157,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774805,0.2728,0.6750,0.1841,0.0000,0.2650,sideEyeCat
1788414774868,0.1198,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774912,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414774960,0.0887,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775007,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775051,0.0875,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775080,0.0004,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775114,0.0004,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775145,0.0652,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775191,0.0825,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775224,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775254,0.0907,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775286,0.0003,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775318,0.0811,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775350,0.0001,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775379,0.0562,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775412,0.0003,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775457,0.0473,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775504,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775550,0.0735,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775604,0.0774,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775645,0.0002,0.0000,0.0000,0.0000,0.2650,sideEyeCat
1788414775679,0.1082,0.0000,0.0000,0.0000,0.2650,default
1788414775723,0.0004,0.0000,0.0000,0.0000,0.2650,default
1788414775768,0.1199,0.0000,0.0000,0.0000,0.2650,default
1788414775798,0.0002,0.0000,0.0000,0.0000,0.2650,default
1788414775829,0.1032,0.0000,0.0000,0.0000,0.2650,default
1788414775857,0.0004,0.0000,0.0000,0.0000,0.2650,default
1788414775892,0.0893,0.0000,0.0000,0.0000,0.2650,default
1788414775941,0.0002,0.0000,0.0000,0.0000,0.2650,default
1788414775974,0.0643,0.0000,0.0000,0.0000,0.2650,default
1788414776017,0.0002,0.0000,0.0000,0.0000,0.2650,default
1788414776052,0.0668,0.0000,0.0000,0.0000,0.2650,default
1788414776084,0.0003,0.0000,0.0000,0.0000,0.2650,default
1788414776115,0.1204,0.0000,0.0000,0.0000,0.2650,default
1788414776146,0.0003,0.0000,0.0000,0.0000,0.2650,default
1788414776191,0.1417,0.0000,0.0000,0.0000,0.2650,default
1788414776222,0.0003,0.0000,0.0000,0.0000,0.2610,default
1788414776268,0.2837,0.9956,0.2825,0.0000,0.2825,default
1788414776323,0.1427,0.0000,0.0000,0.0000,0.2825,default
1788414776354,0.0006,0.0000,0.0000,0.0000,0.2825,default
1788414776404,0.1139,0.0000,0.0000,0.0000,0.2825,default
1788414776440,0.0004,0.0000,0.0000,0.0000,0.2825,default
1788414776487,0.0789,0.0000,0.0000,0.0000,0.2825,default
1788414776533,0.0001,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776580,0.0668,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776626,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776673,0.0764,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776723,0.0704,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776765,0.0003,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776811,0.1085,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776859,0.0003,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776904,0.1071,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776949,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414776980,0.0840,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777011,0.0004,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777058,0.0694,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777105,0.0001,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777149,0.0576,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777197,0.0408,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777245,0.0004,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777290,0.0415,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777336,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777369,0.0610,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777414,0.0003,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777461,0.1283,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777523,0.0578,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777569,0.0005,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777614,0.0599,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777645,0.0003,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777677,0.0848,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777723,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777752,0.0864,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777785,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777817,0.0534,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777863,0.0002,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777910,0.0729,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414777956,0.0004,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778003,0.1829,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778052,0.1332,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778096,0.0003,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778125,0.1930,0.7968,0.1538,0.0000,0.2825,sideEyeCat
1788414778161,0.0004,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778205,0.3540,0.6972,0.2468,0.0000,0.2825,sideEyeCat
1788414778249,0.0004,0.0000,0.0000,0.0000,0.2825,sideEyeCat
1788414778282,0.3526,0.6627,0.2337,0.0000,0.2468,sideEyeCat
1788414778330,0.0001,0.0000,0.0000,0.0000,0.2468,sideEyeCat
1788414778376,0.2496,0.6035,0.1507,0.0000,0.2468,sideEyeCat
1788414778422,0.0002,0.0000,0.0000,0.0000,0.2468,sideEyeCat
1788414778469,0.5365,0.7374,0.3956,0.0000,0.3956,sideEyeCat
1788414778516,0.1955,0.4279,0.0837,0.0000,0.3956,sideEyeCat
1788414778563,0.0003,0.0000,0.0000,0.0000,0.3956,sideEyeCat
1788414778610,0.1934,0.0000,0.0000,0.0000,0.3956,sideEyeCat
1788414778655,0.0003,0.0000,0.0000,0.0000,0.3956,sideEyeCat
1788414778702,0.3054,1.0000,0.3054,0.0000,0.3956,sideEyeCat
1788414778749,0.0003,0.0000,0.0000,0.0000,0.3956,sideEyeCat
1788414778794,0.5564,0.9737,0.5418,0.0000,0.5418,sideEyeCat
1788414778851,0.2246,1.0000,0.2246,0.0000,0.5418,sideEyeCat
1788414778888,0.0003,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414778935,0.1478,0.9993,0.1477,0.0000,0.5418,sideEyeCat
1788414778983,0.0002,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779027,0.0725,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779062,0.0002,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779096,0.1116,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779140,0.0004,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779171,0.1900,0.8861,0.1683,0.0000,0.5418,sideEyeCat
1788414779203,0.0003,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779250,0.2104,0.9265,0.1949,0.0000,0.5418,sideEyeCat
1788414779295,0.0004,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779342,0.3807,1.0000,0.3807,0.0000,0.5418,sideEyeCat
1788414779379,0.0752,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779420,0.0002,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779451,0.0632,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779498,0.0003,0.0000,0.0000,0.0000,0.5418,sideEyeCat
1788414779544,0.1026,0.0000,0.0000,0.0000,0.5418,default
1788414779590,0.0002,0.0000,0.0000,0.0000,0.5418,default
1788414779619,0.1300,0.0000,0.0000,0.0000,0.5418,default
1788414779651,0.0002,0.0000,0.0000,0.0000,0.5418,default
1788414779681,0.1248,0.0000,0.0000,0.0000,0.5418,default
1788414779714,0.0005,0.0000,0.0000,0.0000,0.5418,default
1788414779746,0.0904,0.0000,0.0000,0.0000,0.5418,default
1788414779783,0.0003,0.0000,0.0000,0.0000,0.5418,default
1788414779822,0.1106,0.0000,0.0000,0.0000,0.5418,default
1788414779853,0.0003,0.0000,0.0000,0.0000,0.5418,default
1788414779886,0.1483,0.0000,0.0000,0.0000,0.5418,default
1788414779923,0.0004,0.0000,0.0000,0.0000,0.5418,default
